economy,country_code,region,income_group,lending_category
Afghanistan,AFG,South Asia,Low income,IDA
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD
Algeria,DZA,Middle East & North Africa,Upper middle income,IBRD
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD
Bangladesh,BGD,South Asia,Lower middle income,IDA
Barbados,BRB,Latin America & Caribbean,High income,IBRD
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD
Belize,BLZ,Latin America & Caribbean,Upper middle income,Blend
Benin,BEN,Sub-Saharan Africa,Lower middle income,IDA
Bhutan,BTN,South Asia,Lower middle income,IDA
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD
Bulgaria,BGR,Europe & Central Asia,High income,IBRD
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA
Burundi,BDI,Sub-Saharan Africa,Low income,IDA
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA
Chad,TCD,Sub-Saharan Africa,Low income,IDA
Chile,CHL,Latin America & Caribbean,High income,IBRD
China,CHN,East Asia & Pacific,Upper middle income,IBRD
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,IDA
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Blend
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD
Côte d’Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA
Croatia,HRV,Europe & Central Asia,High income,IBRD
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,IBRD
El Salvador,SLV,Latin America & Caribbean,Upper middle income,IBRD
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,Blend
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD
"Gambia, The",GMB,Sub-Saharan Africa,Low income,IDA
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD
Guinea,GIN,Sub-Saharan Africa,Lower middle income,IDA
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,IDA
