Project_Id2,Project_Legal_Name2,Project__2,Region_Code2,Country_Name2,Practice_Group_Code2,Responsible_VPU2,Responsible_Department2,Global_Practice_Name2,Contributing_GP_Global_Themes2,Staff_Full_Name2,Team_Leaders2,Requesting_Unit2,Responsible_Unit2,FY_Number2,Fiscal_Quarter_Name2,Project_Probability_Code_,Approval_Authority_Flag2,Board_Schedule_Status2,Project_Decision_Meeting_Type_Name_,Project_Full_Board_Discussion_Flag_,Product_Line_Code2,Lendng_Instrument_Instrument_Type_Name_,P4R_With_IPF_Indicator2,Processing_Track_Indicator2,MPA2,Additional_Financing_Flag2,FCC_Indicator2,Emergency_Flag2,Emergency_Response2,Parent_Project_Id2,Environment_Assessment_Code2,Frame_Work2,ESRC__from_ESMS_2,Environmental_Risk_Name2,Project_Environment_Social_Risk_Name_,Project_Overall_Risk_,Project_Volcker_Trigger_Indicator_,Project_Last_Stage_Reached_,Total_Commitment1,IBRD_Total_Commitment1,IDA_Total_Commitment1,Others_Total_Commitment1,PE_Cofinance1,AIS_Sign_Off_Date2,Concept_Review_Date2,Concept_Review_Status2,Disclosure_Of_Concept_PID_Date2,Concept_ESRS_Date2,Quality_Enhancement_Review_Date2,Project_Milestone_Decision_Review_Date_,Decision_Review_Status2,Disclosure_Of_Appraisal_PID_Date2,Appraisal_ESRS_Date2,Begin_Appraisal_Date2,Begin_Appraisal_Status2,Authorize_Negotiations_Date2,Authorize_Negotiations_Status2,SECPO_Date2,SECPO_Status2,Project_Milestone_Approval_Date_,Approval_Status2,FY_Exp__BB___TF1,Cum__Exp__BB___TF1,DDO2,CATASTROPHE_DDO_FLAG2,IPF_Fragile_State_Indicator2,IPF_Fragile_With_Non_Fragile_Country_Indicator2,FCC_Small_States_Indicator2,FCC_Post_Conflict_Indicator2,FCC_Disaster_Indicator2,Financial_Intermediaries2,Performance_Based_Conditions2,Contingent_Emergency_Response_Component2,Alternative_Procurement_Arrangement2,Series_of_Projects__SOP_2,Textbox171,Textbox7,Textbox81,Textbox83,Textbox85,Textbox87,Textbox89,Textbox127,Textbox129
P180755,"Digital, Innovation, and Green Technology Project",1,ECA,Croatia,GGEVP,ECAVP,EECDR,"Finance, Competitiveness and Innovation","Environment, Natural Resources & the Blue Economy Macroeconomics, Trade and Investment","Niang, Cecile Thioro",Todor Milchevski (ADM),ECCEU,EECF1,2023,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Moderate,Moderate,Moderate,M,,Bank Approved,$116.40M,$116.40M,$0.00M,$0.00M,$0.00M,25-Jan-2023,08-Feb-2023,A,13-Mar-2023,16-Mar-2023,,11-Apr-2023,A,16-Apr-2023,22-Jun-2023,20-Apr-2023,A,24-Apr-2023,A,26-May-2023,A,22-Jun-2023,A,,,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181068,"Türkiye: Post-Earthquake Micro, Small and Medium Enterprises (MSME) Recovery project",1,ECA,Turkiye,GGEVP,ECAVP,EECDR,"Finance, Competitiveness and Innovation",,"Martinez Licetti, Martha",Stefka Slavova (ADM);Ali Abukumail,ECCTR,EECF2,2023,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,Y,N,,,,ESF,Moderate,Moderate,Moderate,M,,Bank Approved,$450.00M,$450.00M,$0.00M,$0.00M,$0.00M,28-Mar-2023,,,,,,04-May-2023,A,08-May-2023,28-Jun-2023,10-May-2023,A,26-May-2023,A,12-Jun-2023,A,27-Jun-2023,A,,,N,,,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P175450,WB COVID-19 MPA Vaccination AF,1,OTH,World,GGHVP,GGHVP,HHNDR,"Health, Nutrition & Population",,,David Wilson (ADM);Jumana Qamruddin;Marelize Prestidge,HHNDR,HHNDR,2021,Q2,A,BOA,Draft,Bank-wide Operations,,PE,IPF,N/A,N/A,Y,Y,,N,,P173789,,ESF,,,,,,Bank Approved,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M,21-Sep-2020,,,,,,29-Sep-2020,R,,16-Oct-2020,30-Sep-2020,R,30-Sep-2020,R,,,13-Oct-2020,A,,,N,,Yes,Yes,Yes,Yes,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181023,Ukraine Relief and Recovery Development Policy Loan,1,ECA,Ukraine,GGEVP,ECAVP,EECDR,"Macroeconomics, Trade and Investment","Energy & Extractives Finance, Competitiveness and Innovation Governance Social Protection & Jobs","Chakeri, Jasmin",Karlis Smits (ADM);Florian Blum,ECCEE,EECM2,2023,Q4,A,BOA,Board Approved,Bank-wide Operations,Y,PE,DPF,N/A,N/A,N,N,N,N,,,,N/A,,,,H,,Bank Approved,"$1,500.00M","$1,500.00M",$0.00M,$0.00M,$0.00M,23-Mar-2023,28-Apr-2023,A,03-May-2023,29-Jun-2023,,18-May-2023,A,26-May-2023,29-Jun-2023,,,26-May-2023,A,05-Jun-2023,A,29-Jun-2023,A,,,N,,,,,,,No,No,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181079,Ecuador: Emergency Resilient Reconstruction Project,1,LCR,Ecuador,GGIVP,LCRVP,ILCDR,Transport,,"Bianchi Alves, Bianca",Alejandro Hoyos Guerrero (ADM),LCC6C,ILCT1,2023,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,Y,N,,,,ESF,High,High,High,S,,Bank Approved,$150.00M,$150.00M,$0.00M,$0.00M,$0.00M,30-Mar-2023,,,,,,18-Apr-2023,A,15-May-2023,09-Jun-2023,15-May-2023,A,16-May-2023,A,26-May-2023,A,09-Jun-2023,A,,,N,,,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P180741,Morocco COVID-19 Social Protection Emergency Response Project AF,1,MNA,Morocco,GGHVP,MNAVP,HMNDR,Social Protection & Jobs,,"Ridao-Cano, Cristobal",Mahdi Barouni (ADM);Dalal Moosa,MNC01,HMNSP,2023,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P172809,,ESF,,,,,,Bank Approved,$350.00M,$350.00M,$0.00M,$0.00M,$0.00M,13-Feb-2023,,,,,,17-Apr-2023,A,20-Apr-2023,09-Jun-2023,19-Apr-2023,A,03-May-2023,A,18-May-2023,A,09-Jun-2023,A,,,N,,,,,,,No,Yes,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181679,Morocco Public Sector Performance (ENNAJAA) Program Additional Financing,1,MNA,Morocco,GGEVP,MNAVP,EMNDR,Governance,Digital Development Poverty and Equity,"Rontoyanni, Clelia Kalliopi Helena",Yannis Arvanitis (ADM);Laila Moudden;Walid Dhouibi,MNC01,EMNGU,2024,Q4,A,BOA,Board Approved,Decision Meeting,,PE,PforR,N,N/A,N,Y,,N,,P169330,,N/A,,,,,,Bank Approved,$250.00M,$250.00M,$0.00M,$0.00M,$0.00M,12-Mar-2024,,,,20-Jun-2024,29-Mar-2024,09-May-2024,A,13-May-2024,20-Jun-2024,09-May-2024,A,16-May-2024,A,29-May-2024,R,20-Jun-2024,A,,,N,,,,,,,No,No,No,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181565,Second Additional Financing to Tunisia Emergency Food Security Response Project,1,MNA,Tunisia,GGSVP,MNAVP,SMNDR,Agriculture and Food,"Finance, Competitiveness and Innovation Macroeconomics, Trade and Investment Social Protection & Jobs","Karaky, Rabih H.",Christian Berger (ADM);Sossena Tassew,MNC01,SMNAG,2024,Q3,A,BOA,Board Approved,Regional Operations,,PE,IPF,N/A,N/A,N,Y,,N,,P179010,,ESF,,,,,,Bank Approved,$300.00M,$300.00M,$0.00M,$0.00M,$0.00M,01-Dec-2023,,,,,,05-Feb-2024,A,11-Feb-2024,14-Mar-2024,06-Feb-2024,A,15-Feb-2024,A,01-Mar-2024,A,14-Mar-2024,A,,,N,,,,,,Yes,No,,No,No,,Yes,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181436,Turkiye Green Export Project,1,ECA,Turkiye,GGEVP,ECAVP,EECDR,"Finance, Competitiveness and Innovation","Macroeconomics, Trade and Investment Infrastructure, PPP's & Guarantees","Martinez Licetti, Martha",Etkin Ozen (ADM);Rome Chavapricha;Birgitte Berg,ECCTR,EECF2,2024,Q3,A,BOA,Board Approved,,,GU,IPF,N/A,2,N,N,N,N,,,,ESF,,,,M,,Bank Approved,$654.90M,$654.90M,$0.00M,$0.00M,$0.00M,23-Aug-2023,05-Oct-2023,A,13-Oct-2023,,06-Nov-2023,27-Nov-2023,A,04-Dec-2023,,,,,,31-Jan-2024,R,22-Feb-2024,A,,,N,,,,,,,Yes,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P181434,Uzbekistan Solar and Renewable Energy Storage Project,1,ECA,Uzbekistan,GGIVP,ECAVP,IECDR,Energy & Extractives,,"Gil, Stephanie",Bahodir Amonov (ADM);Philip Lam;Joern Huenteler,ECCCA,IECEE,2024,Q3,A,BOA,Board Approved,,,GU,IPF,N/A,2,N,N,N,N,,,,ESF,,,,M,,Bank Approved,$12.00M,$12.00M,$0.00M,$0.00M,$0.00M,08-Aug-2023,04-Mar-2021,A,31-Mar-2021,,,02-Nov-2023,A,22-Sep-2023,,,,,,31-Oct-2023,A,03-Jan-2024,A,,,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
