Task Id,Task Name,Team Leaders,Lead GP/Global Themes,Region,Country,Approval FY,Product Line,Lending Project Status,Sectors (Level 1),Sectors (Level 2),Themes (Level 1),Themes (Level 2),Themes (Level 3)
P157827,Mazar-e-Sharif Gas-to-Power Project,Monyl Toga Makang (ADM);Ehsanullah Shamsi,Energy & Extractives,SAR,Afghanistan,2020,GU,Actual,&&Energy & Extractives (100%),"&&Oil and Gas (50%)
&&Energy Trans & Distr (50%)",&&FY17 - Environment and Natural Resource Management,&&FY17 - Energy (100%),"&&FY17 - Energy Policies & Reform (100%)
&&FY17 - Access to Energy (100%)"
P166405,Sheberghan Gas to Power Project,Monyl Toga Makang (ADM);Abdul Quraishi,Energy & Extractives,SAR,Afghanistan,2020,GU,Actual,&&Energy & Extractives (100%),"&&Non-Renewable Energy (50%)
&&PA Energy&Extratives (50%)","&&FY17 - Private Sector Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Public Private Partnerships (100%)
&&FY17 - Energy (100%)","&&FY17 - Energy Policies & Reform (100%)
&&FY17 - Access to Energy (100%)"
P169970,A-WASH,Mir Ahmad (ADM),Water,SAR,Afghanistan,2021,PE,Actual,"&&Agriculture (5%)
&&Water/Sanit/Waste (95%)","&&Other Agri, Forestry (5%)
&&Water Supply (85%)
&&PA Water, Sanitation (10%)","&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Social Inclusion (10%)
&&FY17 - Gender (10%)
&&FY17 - Disease Control (65%)
&&FY17 - Urban Development (100%)
&&FY17 - Climate change (68%)
&&FY17 - Water Resource Management (10%)","&&FY17 - Participation and Civic Engagement (10%)
&&FY17 - Pandemic Response (65%)
&&FY17 - Urban Water and Sanitation (100%)
&&FY17 - Mitigation (22%)
&&FY17 - Adaptation (46%)
&&FY17 - Water Institutions, Policies and Reform (10%)"
P171657,IRAGO,Atiqullah Ahmadzai (ADM);Eva Melis,"Macroeconomics, Trade and Investment",SAR,Afghanistan,2021,RE,Actual,&&Public Admin (100%),&&Law and Justice (100%),"&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender","&&FY17 - Rule of Law (100%)
&&FY17 - Public Administration (100%)
&&FY17 - Fragility, Conflict and Violence (42%)
&&FY17 - Gender (100%)
&&FY17 - Disease Control (42%)","&&FY17 - Judicial and other Dispute Resolution Mechanisms (100%)
&&FY17 - Administrative and Civil Service Reform (100%)
&&FY17 - Conflict Prevention (42%)
&&FY17 - Pandemic Response (42%)"
P171886,SAFI,Namoos Zaheer (ADM);Mohammad Akbari,"Finance, Competitiveness and Innovation",SAR,Afghanistan,2021,PE,Actual,"&&Info & Communication (8%)
&&Financial Sector (92%)","&&ICT Infrastructure (8%)
&&Banking Institutions (37%)
&&PA Financial Sector (55%)","&&FY17 - Private Sector Development
&&FY17 - Finance
&&FY17 - Human Development and Gender","&&FY17 - ICT (40%)
&&FY17 - Financial Stability (60%)
&&FY17 - Financial Infrastructure and Access (62%)
&&FY17 - Gender (69%)
&&FY17 - Disease Control (100%)","&&FY17 - ICT Solutions (25%)
&&FY17 - Financial Sector oversight and policy/banking regulation & restructuring (45%)
&&FY17 - Credit Infrastructure (47%)
&&FY17 - MSME Finance (62%)
&&FY17 - Pandemic Response (100%)"
P172109,Afghanistan Gas Project (AGASP),Carlos Lopez Quiroga (ADM);Noora Arfaa,Energy & Extractives,SAR,Afghanistan,2020,PE,Actual,&&Energy & Extractives (100%),"&&Oil and Gas (67%)
&&PA Energy&Extratives (33%)","&&FY17 - Finance
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Finance for Development (75%)
&&FY17 - Gender (33%)
&&FY17 - Rural Development (75%)
&&FY17 - Energy (100%)","&&FY17 - Infrastructure Finance (75%)
&&FY17 - Geospatial Services (75%)
&&FY17 - Energy Efficiency (69%)
&&FY17 - Energy Policies & Reform (15%)
&&FY17 - Access to Energy (16%)"
P172211,2020 INCENTIVE PROGRAM,Tobias Haque (ADM),"Macroeconomics, Trade and Investment",SAR,Afghanistan,2020,PE,Actual,"&&Public Admin (93%)
&&Financial Sector (7%)","&&Central Government (79%)
&&Other Public Adminis (14%)
&&Banking Institutions (7%)","&&FY17 - Economic Policy
&&FY17 - Private Sector Development
&&FY17 - Finance
&&FY17 - Public Sector Management
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Fiscal Policy (21%)
&&FY17 - Business Enabling Environment (14%)
&&FY17 - Jobs (7%)
&&FY17 - Financial Infrastructure and Access (7%)
&&FY17 - Public Finance Management (29%)
&&FY17 - Public Administration (43%)
&&FY17 - Gender (21%)
&&FY17 - Disease Control (100%)
&&FY17 - Education (7%)
&&FY17 - Urban Development (7%)
&&FY17 - Rural Development (7%)
&&FY17 - Disaster Risk Management (7%)
&&FY17 - Energy (14%)","&&FY17 - Fiscal sustainability (7%)
&&FY17 - Tax policy (14%)
&&FY17 - Investment and Business Climate (14%)
&&FY17 - Job Creation (7%)
&&FY17 - Payment & markets infrastructure (7%)
&&FY17 - Financial inclusion (7%)
&&FY17 - Public Expenditure Management (29%)
&&FY17 - Administrative and Civil Service Reform (14%)
&&FY17 - Transparency, Accountability and Good Governance (7%)
&&FY17 - E-Government, incl. e-services (14%)
&&FY17 - Public Assets and Investment Management (7%)
&&FY17 - Pandemic Response (100%)
&&FY17 - Teachers (7%)
&&FY17 - Urban Water and Sanitation (7%)
&&FY17 - Land Administration and Management (7%)
&&FY17 - Flood and Drought Risk Management (7%)
&&FY17 - Energy Policies & Reform (14%)
&&FY17 - Access to Energy (14%)"
P173387,ENETAWF,Endashaw Gossa (ADM);Arati Belle;Samantha Cook,Social Protection & Jobs,SAR,Afghanistan,2021,PE,Actual,"&&Public Admin (13%)
&&Social Protection (87%)","&&Other Public Adminis (13%)
&&Social Protection (87%)","&&FY17 - Finance
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Finance for Development (13%)
&&FY17 - Social Protection (100%)
&&FY17 - Fragility, Conflict and Violence (87%)
&&FY17 - Gender (87%)
&&FY17 - Nutrition and Food Security (100%)
&&FY17 - Disaster Risk Management (100%)
&&FY17 - Climate change (100%)","&&FY17 - Disaster Risk Finance (13%)
&&FY17 - Social Safety Nets (100%)
&&FY17 - Forced Displacement (87%)
&&FY17 - Nutrition (100%)
&&FY17 - Food Security (100%)
&&FY17 - Disaster Response and Recovery (13%)
&&FY17 - Disaster Preparedness (13%)
&&FY17 - Flood and Drought Risk Management (100%)
&&FY17 - Adaptation (100%)"
P173775,Afghanistan COVID-19 ERHSPP,Gyorgy Fritsche (ADM);Habibullah Ahmadzai,"Health, Nutrition & Population",SAR,Afghanistan,2020,PE,Actual,&&Health (100%),"&&PA Health (10%)
&&Health (90%)",&&FY17 - Human Development and Gender,"&&FY17 - Disease Control (100%)
&&FY17 - Health Systems and Policies (100%)","&&FY17 - Pandemic Response (100%)
&&FY17 - Health System Strengthening (100%)
&&FY17 - Health Service Delivery (5%)
&&FY17 - Health Finance (51%)"
P174119,Afghanistan COVID-19 REACH,Susan Wong (ADM);Andras Bodor,Social Sustainability and Inclusion,SAR,Afghanistan,2021,PE,Actual,"&&Public Admin (48%)
&&Financial Sector (7%)
&&Social Protection (45%)","&&Sub National Governm (48%)
&&Banking Institutions (7%)
&&Social Protection (45%)","&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender","&&FY17 - Social Inclusion (100%)
&&FY17 - Gender (50%)
&&FY17 - Disease Control (100%)",&&FY17 - Pandemic Response (100%)
P174234,Afghanistan COVID-19 Response DPG,Tobias Haque (ADM),"Macroeconomics, Trade and Investment",SAR,Afghanistan,2021,PE,Actual,"&&Education (17%)
&&Financial Sector (34%)
&&Health (8%)
&&Energy & Extractives (17%)
&&Water/Sanit/Waste (24%)","&&Other Education (17%)
&&Banking Institutions (17%)
&&Capital Markets (17%)
&&Health (8%)
&&Oth Energy&Extrative (17%)
&&Sanitation (8%)
&&Waste Management (8%)
&&Water Supply (8%)","&&FY17 - Private Sector Development
&&FY17 - Finance
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - ICT (17%)
&&FY17 - Financial Infrastructure and Access (33%)
&&FY17 - Gender (33%)
&&FY17 - Disease Control (100%)
&&FY17 - Health Systems and Policies (17%)
&&FY17 - Urban Development (17%)
&&FY17 - Disaster Risk Management (12%)
&&FY17 - Climate change (4%)
&&FY17 - Energy (17%)","&&FY17 - ICT Solutions (17%)
&&FY17 - ICT Policies (17%)
&&FY17 - Payment & markets infrastructure (17%)
&&FY17 - MSME Finance (17%)
&&FY17 - Pandemic Response (100%)
&&FY17 - Health System Strengthening (17%)
&&FY17 - Urban Water and Sanitation (17%)
&&FY17 - Flood and Drought Risk Management (12%)
&&FY17 - Adaptation (4%)
&&FY17 - Energy Policies & Reform (17%)"
P174348,EATS,Amanullah Alamzai (ADM);Francois Onimus;Mohammad Akbari,Agriculture and Food,SAR,Afghanistan,2021,PE,Actual,"&&Agriculture (66%)
&&Industry & Trade/Ser (34%)","&&Irrigation & drainag (39%)
&&Other Agri, Forestry (27%)
&&Agricultural markets (16%)
&&PA Ind, Trade & Serv (18%)","&&FY17 - Private Sector Development
&&FY17 - Human Development and Gender
&&FY17 - Urban and Rural Development
&&FY17 - Environment and Natural Resource Management","&&FY17 - Jobs (74%)
&&FY17 - Public Private Partnerships (18%)
&&FY17 - Enterprise Development (34%)
&&FY17 - Gender (100%)
&&FY17 - Disease Control (80%)
&&FY17 - Rural Development (34%)
&&FY17 - Climate change (58%)
&&FY17 - Renewable Natural Resources Asset Management (74%)
&&FY17 - Water Resource Management (74%)","&&FY17 - Job Creation (74%)
&&FY17 - MSME Development (34%)
&&FY17 - Pandemic Response (80%)
&&FY17 - Rural Infrastructure and service delivery (24%)
&&FY17 - Mitigation (19%)
&&FY17 - Adaptation (38%)
&&FY17 - Watershed Management (35%)
&&FY17 - Water Institutions, Policies and Reform (46%)"
P176137,2021 IP-DPG,Tobias Haque (ADM);Muhammad Waheed,"Macroeconomics, Trade and Investment",SAR,Afghanistan,2021,PE,Actual,"&&Public Admin (61%)
&&Financial Sector (23%)
&&Energy & Extractives (16%)","&&Central Government (61%)
&&Banking Institutions (15%)
&&Insurance & Pension (8%)
&&Oil and Gas (8%)
&&Energy Trans & Distr (8%)","&&FY17 - Economic Policy
&&FY17 - Private Sector Development
&&FY17 - Finance
&&FY17 - Public Sector Management
&&FY17 - Social Development and Protection
&&FY17 - Human Development and Gender
&&FY17 - Environment and Natural Resource Management","&&FY17 - Fiscal Policy (69%)
&&FY17 - Jobs (8%)
&&FY17 - Public Private Partnerships (8%)
&&FY17 - Financial Stability (15%)
&&FY17 - Financial Infrastructure and Access (23%)
&&FY17 - Public Finance Management (31%)
&&FY17 - Public Administration (69%)
&&FY17 - Social Inclusion (8%)
&&FY17 - Gender (23%)
&&FY17 - Energy (15%)","&&FY17 - Fiscal sustainability (46%)
&&FY17 - Tax policy (23%)
&&FY17 - Job Creation (8%)
&&FY17 - Financial Sector oversight and policy/banking regulation & restructuring (15%)
&&FY17 - Credit Infrastructure (8%)
&&FY17 - Payment & markets infrastructure (23%)
&&FY17 - Financial inclusion (8%)
&&FY17 - Public Expenditure Management (23%)
&&FY17 - Debt Management (8%)
&&FY17 - Administrative and Civil Service Reform (31%)
&&FY17 - Transparency, Accountability and Good Governance (23%)
&&FY17 - E-Government, incl. e-services (23%)
&&FY17 - Civil Registration and Identification (8%)
&&FY17 - Public Assets and Investment Management (8%)
&&FY17 - Participation and Civic Engagement (8%)
&&FY17 - Energy Efficiency (15%)
&&FY17 - Energy Policies & Reform (15%)
&&FY17 - Access to Energy (8%)"
