"family_name","var_name","processing","description_short","source"
"Degree of Integrity","Absence of corruption",NA,"Captures the extent to which state officials in the executive branch, the judicial branch, the legislative branch, and the police/military use public office for private gain","World Justice Project, Rule of Law"
"Degree of Integrity","Public sector corruption","Invert","Captures the extent to which public employees engage in malfeasance","V-Dem, Variety of Democracy database"
"Degree of Integrity","Executive corruption","Invert","Captures the extent to which members of the executive engage in malfeasance","V-Dem, Variety of Democracy database"
"Degree of Integrity","Legislative corruption",NA,"Captures the extent to which members of the legislative engage in malfeasance","V-Dem, Variety of Democracy database"
"Degree of Integrity","Government regulations are applied and enforced without improper influence",NA,"Measures whether the enforcement of regulations is subject to bribery or improper influence by private interests and whether public service are provided without bribery or other inducements","World Justice Project, Rule of Law"
"Energy and Environment Institutions","Environmental policy",NA,"Measures the extent to which environmental concerns effectively taken into account","Bertelsmann Transformation Index"
"Energy and Environment Institutions","National energy efficiency planning",NA,"Captures a collection of sub-indicators that measure whether a country has various energy efficiency frameworks and carbon reduction targets","RISE"
"Energy and Environment Institutions","Energy efficiency entities",NA,"Captures a collection of sub-indicators that measure whether there are government bodies that set energy efficiency standards, regulate energy efficiency activity, and certify the compliance of products","RISE"
"Energy and Environment Institutions","Incentives and mandates: industrial and commercial end users",NA,"Captures a collection of sub-indicators about whether or not there are energy efficiency mandates for large energy users, penalties for non-compliance, periodic reporting of energy consumption, and a measurement or verification program in place","RISE"
"Energy and Environment Institutions","Incentives and mandates: public sector",NA,"Captures a collection of sub-indicators that measure whether public buildings have binding energy savings obligations and energey efficiency retrofitting as well as whether there are green public procurement guidelines","RISE"
"Energy and Environment Institutions","Incentives and mandates: energy utility programs",NA,"Captures a collection of sub-indicators that measure whether there are energy efficient programs for generation / transmission / distribution networks, whether there is demand-side management and demand-response, and whether there are mechanisms for utilities to recover costs associated with or revenue lost from mandated energy efficiency activities, etc.","RISE"
"Energy and Environment Institutions","Financing mechanisms for energy efficiency",NA,"Captures a collection of sub-indicators that measure whether there are ""national financial coverage"" mechanisms in place for energy efficiency activities and the share of financial and non-financial institutions which offer energy efficiency credit lines","RISE"
"Energy and Environment Institutions","Minimum energy efficiency performance standards",NA,"Measures whether minimum energy performance standards been adopted for refrigerators, HVAC, lighting equipment, industrial equipment, industrial electric motors, other industrial equipment or domestic appliances","RISE"
"Energy and Environment Institutions","Energy labeling systems",NA,"Measures the extent to which energy efficiency labeling schemes been adopted and if those systems are mandatory or voluntary.","RISE"
"Energy and Environment Institutions","Building energy codes",NA,"Captures a collection of sub-indicators that measure what codes are in place for new residential and commercial buildings, what compliance systems are in place, and other policy mechanisms related to ""green-ing"" buildings","RISE"
"Energy and Environment Institutions","Legal framework for renewable energy",NA,"Captures a collection of sub-indicators that measure whether the legal framework allows private ownership of renewable energy generation and whether there is a legally binding renewable target linked to internatioal commitments","RISE"
"Energy and Environment Institutions","Planning for renewable energy expansion",NA,"Captures a collection of sub-indicators that measure if there is an assessment of the rewenables in electricity supply, whether there is a target for renewables in electricity, and other elements related to planning for renewable energy expansion","RISE"
"Energy and Environment Institutions","Incentives and regulatory support for renewable energy",NA,"Captures a collection of sub-indicators that measure the extent of financial and regulatory support for electricity, transport, heating, and cooling","RISE"
"Energy and Environment Institutions","Attributes of financial and regulatory incentives",NA,"Captures a collection of sub-indicators relating to climate change-related financial and regulatory incentives","RISE"
"Energy and Environment Institutions","Carbon pricing and monitoring",NA,"Captures whether there is a carbon pricing mechanism that covers GHG emissions and if there is a monitoring system for that mechanism","RISE"
"Energy and Environment Institutions","Public procurement of energy efficiency products",NA,"Captures whether there are specific policies or mandated guidelines for public procurement of energy-efficient products and services on the following levels","RISE"
"Digital and Data Institutions","Core government systems index (cgsi)",NA,"Captures the key aspects of a whole-of-government approach, including government cloud, interoperability framework and other platforms.","GTMI"
"Digital and Data Institutions","Govtech enablers index (gtei)",NA,"Measures the strategy, institutions, laws, and regulations to foster GovTech as well as digital skills and innovation policies","GTMI"
"Digital and Data Institutions","Public service delivery index (psdi)",NA,"Measures the maturity of online public service portals with a focus on citizen centric design and universal accessibility.","GTMI"
"Digital and Data Institutions","Censuses and surveys",NA,"Measures the availability of recent censuses and surveys covering broad areas","SPI"
"Digital and Data Institutions","Standards and methods",NA,"Captures the country’s use of internationally accepted and recommended methodologies, classifications and standards regarding data integration","SPI"
"Public Human Resource Management Institutions","Rigorous and impartial public administration",NA,"Measures whether public officials rigorous and impartial in the performance of their duties (0 to 4 scoring)","V-Dem, Variety of Democracy database"
"Public Human Resource Management Institutions","Efficient use of assets",NA,"Measures the extent to which the government makes efficient use of available human, financial and organizational resources","Bertelsmann Transformation Index"
"Public Human Resource Management Institutions","Criteria for appointment decisions in the state administration",NA,"Measures the extent to which appointment decisions in the state administration are based on personal and political connections as opposed to skills and merit (0 to 4 scoring)","V-Dem, Variety of Democracy database"
"Public Human Resource Management Institutions","Access to state jobs by political group",NA,"Captures whether state jobs are equally open to qualified individuals regardless of their association with a political group (0 to 4 scoring)","V-Dem, Variety of Democracy database"
